epoch,total_loss,data_loss,physics_loss,validation_loss,validation_r2_x_ddot,validation_r2_theta_ddot
4.200000000e+01,3.489878262e-01,2.565916687e-02,3.233286594e-01,2.647134431e-02,9.813506179e-01,9.678843689e-01
4.300000000e+01,3.277083088e-01,2.359049267e-02,3.041178161e-01,2.452526917e-02,9.839683908e-01,9.691439141e-01
4.400000000e+01,3.133677603e-01,2.310599214e-02,2.902617682e-01,2.344682827e-02,9.831651823e-01,9.718331768e-01
4.500000000e+01,2.973617347e-01,2.066054254e-02,2.767011921e-01,2.150137295e-02,9.854657965e-01,9.733717896e-01
4.600000000e+01,2.831129297e-01,2.034133246e-02,2.627715972e-01,2.144753431e-02,9.865346282e-01,9.725263204e-01
4.700000000e+01,2.694055578e-01,1.851280922e-02,2.508927486e-01,1.890976070e-02,9.874288249e-01,9.763947721e-01
4.800000000e+01,2.524416490e-01,1.598739586e-02,2.364542531e-01,1.686643442e-02,9.894895365e-01,9.783249922e-01
4.900000000e+01,2.434352668e-01,1.693622183e-02,2.264990450e-01,1.714358373e-02,9.880044807e-01,9.791282695e-01
5.000000000e+01,2.303296235e-01,1.472143768e-02,2.156081858e-01,1.549790211e-02,9.899270849e-01,9.804505694e-01
5.100000000e+01,2.198571798e-01,1.281878947e-02,2.070383904e-01,1.320128955e-02,9.907555393e-01,9.839344165e-01
5.200000000e+01,2.091455347e-01,1.167394239e-02,1.974715923e-01,1.202273930e-02,9.918106863e-01,9.851656135e-01
5.300000000e+01,2.024747193e-01,1.267764067e-02,1.897970787e-01,1.290223646e-02,9.911084879e-01,9.841715478e-01
5.400000000e+01,1.943498571e-01,1.060203725e-02,1.837478198e-01,1.060625129e-02,9.923287072e-01,9.873081243e-01
5.500000000e+01,1.855740729e-01,1.125296778e-02,1.743211051e-01,1.149223776e-02,9.923890285e-01,9.856284709e-01
5.600000000e+01,1.800243811e-01,1.048289506e-02,1.695414860e-01,1.079040734e-02,9.932707031e-01,9.861378381e-01
5.700000000e+01,1.743721450e-01,9.727287729e-03,1.646448573e-01,9.692256104e-03,9.933629501e-01,9.880721596e-01
5.800000000e+01,1.681496753e-01,1.089351823e-02,1.572561571e-01,1.073382460e-02,9.929018943e-01,9.865675416e-01
5.900000000e+01,1.662122137e-01,1.125108178e-02,1.549611319e-01,1.096585838e-02,9.926580514e-01,9.863570408e-01
6.000000000e+01,1.576027760e-01,9.443366374e-03,1.481594096e-01,9.256375689e-03,9.938710435e-01,9.884233896e-01
6.100000000e+01,1.527512442e-01,8.942233872e-03,1.438090103e-01,8.724068982e-03,9.937846713e-01,9.894768266e-01
6.200000000e+01,1.454171399e-01,8.268794745e-03,1.371483451e-01,8.310280624e-03,9.943329951e-01,9.897519604e-01
6.300000000e+01,1.433832705e-01,9.021666376e-03,1.343616041e-01,8.937849798e-03,9.943679962e-01,9.885690406e-01
6.400000000e+01,1.384207645e-01,7.501412238e-03,1.309193523e-01,7.593602829e-03,9.941223893e-01,9.912535967e-01
6.500000000e+01,1.360439286e-01,8.071430081e-03,1.279724985e-01,7.983946375e-03,9.947879019e-01,9.899490918e-01
6.600000000e+01,1.343643167e-01,9.262071154e-03,1.251022455e-01,8.781984208e-03,9.935395833e-01,9.895870465e-01
6.700000000e+01,1.270355456e-01,7.760839208e-03,1.192747064e-01,7.540514576e-03,9.952350911e-01,9.903679915e-01
6.800000000e+01,1.234419548e-01,7.170513669e-03,1.162714411e-01,7.053646877e-03,9.944747980e-01,9.919334182e-01
6.900000000e+01,1.229920810e-01,6.866482226e-03,1.161255987e-01,6.874052089e-03,9.949753372e-01,9.918208718e-01
7.000000000e+01,1.177580061e-01,6.658976683e-03,1.110990294e-01,6.824503122e-03,9.948677720e-01,9.920068587e-01
7.100000000e+01,1.140225827e-01,6.504860863e-03,1.075177218e-01,6.435093050e-03,9.954025636e-01,9.922491980e-01
7.200000000e+01,1.094961841e-01,6.502162744e-03,1.029940214e-01,6.254343293e-03,9.961306721e-01,9.919377174e-01
7.300000000e+01,1.081714537e-01,6.243398520e-03,1.019280552e-01,5.990529610e-03,9.959665764e-01,9.925669630e-01
7.400000000e+01,1.060651555e-01,6.845787284e-03,9.921936820e-02,6.381262506e-03,9.949107930e-01,9.927824845e-01
7.500000000e+01,1.014002092e-01,6.384073777e-03,9.501613542e-02,5.942028758e-03,9.960861875e-01,9.925503189e-01
7.600000000e+01,1.040200618e-01,7.255011739e-03,9.676505010e-02,7.275601465e-03,9.953767423e-01,9.907291322e-01
7.700000000e+01,9.617156285e-02,6.240936940e-03,8.993062591e-02,5.805662881e-03,9.951627305e-01,9.936165001e-01
7.800000000e+01,9.717897096e-02,5.832800991e-03,9.134616997e-02,5.611155544e-03,9.958606816e-01,9.933569173e-01
7.900000000e+01,9.232853496e-02,4.998758421e-03,8.732977654e-02,4.879707525e-03,9.968961620e-01,9.937847667e-01
8.000000000e+01,8.972207148e-02,4.584934927e-03,8.513713655e-02,4.835239778e-03,9.962670673e-01,9.944221903e-01
8.100000000e+01,8.721007318e-02,4.604038642e-03,8.260603454e-02,4.561174261e-03,9.968066249e-01,9.944485868e-01
8.200000000e+01,8.780851202e-02,4.715689846e-03,8.309282217e-02,4.556720391e-03,9.966455274e-01,9.945990900e-01
8.300000000e+01,8.458411522e-02,5.136101077e-03,7.944801414e-02,5.162480835e-03,9.964605465e-01,9.936505544e-01
8.400000000e+01,8.242533702e-02,4.950587456e-03,7.747474956e-02,4.713748787e-03,9.963551716e-01,9.945673662e-01
8.500000000e+01,7.918585856e-02,4.067157534e-03,7.511870103e-02,4.114900229e-03,9.967558559e-01,9.953126431e-01
8.600000000e+01,7.710989362e-02,4.124279659e-03,7.298561397e-02,4.119458285e-03,9.971614618e-01,9.949459289e-01
8.700000000e+01,7.705036024e-02,4.560705574e-03,7.248965467e-02,4.617484889e-03,9.968493406e-01,9.943074815e-01
8.800000000e+01,7.606673044e-02,4.742990892e-03,7.132373955e-02,4.701329530e-03,9.958221621e-01,9.950610701e-01
8.900000000e+01,7.346594274e-02,4.853587975e-03,6.861235477e-02,4.400118021e-03,9.963720139e-01,9.951282023e-01
9.000000000e+01,7.087704606e-02,3.843517006e-03,6.703352906e-02,3.827753770e-03,9.972829712e-01,9.953740442e-01
9.100000000e+01,6.984548646e-02,4.224889779e-03,6.562059668e-02,4.250205724e-03,9.962032115e-01,9.955525233e-01
9.200000000e+01,6.805643087e-02,3.654838800e-03,6.440159207e-02,3.609001500e-03,9.972740112e-01,9.957835126e-01
9.300000000e+01,6.659234983e-02,4.793847550e-03,6.179850228e-02,4.733976164e-03,9.971415287e-01,9.938355003e-01
9.400000000e+01,6.564752151e-02,4.541210066e-03,6.110631145e-02,4.376228168e-03,9.970929935e-01,9.945350803e-01
9.500000000e+01,6.284370984e-02,3.917470948e-03,5.892623889e-02,3.563248963e-03,9.974641838e-01,9.956994834e-01
9.600000000e+01,6.407522795e-02,4.849538511e-03,5.922568944e-02,4.355626433e-03,9.969511512e-01,9.946982135e-01
9.700000000e+01,6.099854148e-02,3.924136482e-03,5.707440500e-02,3.599423486e-03,9.975935473e-01,9.955187888e-01
9.800000000e+01,5.886640993e-02,3.162995557e-03,5.570341437e-02,3.052090876e-03,9.975995348e-01,9.965182096e-01
9.900000000e+01,5.797808652e-02,3.441405208e-03,5.453668131e-02,3.240309009e-03,9.974847227e-01,9.962741420e-01
1.000000000e+02,5.566541274e-02,2.764131086e-03,5.290128165e-02,2.698411290e-03,9.978804807e-01,9.969192295e-01
1.010000000e+02,5.402472748e-02,3.001653218e-03,5.102307426e-02,2.939680096e-03,9.976439310e-01,9.966853329e-01
1.020000000e+02,5.406484580e-02,3.317144274e-03,5.074770152e-02,3.298432896e-03,9.975566874e-01,9.961038671e-01
1.030000000e+02,5.317901424e-02,3.506585796e-03,4.967242844e-02,3.322975329e-03,9.974385651e-01,9.961631752e-01
1.040000000e+02,5.361601507e-02,3.014905340e-03,5.060110973e-02,3.102889985e-03,9.975404405e-01,9.964771692e-01
1.050000000e+02,5.014787745e-02,2.550746494e-03,4.759713096e-02,2.555236104e-03,9.977380091e-01,9.973079205e-01
1.060000000e+02,5.217583316e-02,3.157482663e-03,4.901835050e-02,3.050656299e-03,9.970112456e-01,9.970405883e-01
1.070000000e+02,4.944863796e-02,2.778959145e-03,4.666967881e-02,2.822372999e-03,9.975267538e-01,9.970041920e-01
1.080000000e+02,4.718025534e-02,2.750099271e-03,4.443015607e-02,2.694243266e-03,9.976474937e-01,9.971327213e-01
1.090000000e+02,4.631701933e-02,2.716338508e-03,4.360068082e-02,2.683895366e-03,9.978130078e-01,9.970054869e-01
1.100000000e+02,4.376773617e-02,2.573333407e-03,4.119440276e-02,2.595239314e-03,9.979295217e-01,9.970652900e-01
1.110000000e+02,4.294940742e-02,2.309251749e-03,4.064015567e-02,2.399546005e-03,9.976237391e-01,9.976946689e-01
1.120000000e+02,4.421211692e-02,2.323899812e-03,4.188821710e-02,2.644748151e-03,9.973798563e-01,9.974600308e-01
1.130000000e+02,4.323919425e-02,2.387459378e-03,4.085173487e-02,2.595292376e-03,9.978498692e-01,9.971355644e-01
1.140000000e+02,4.204481790e-02,2.625883150e-03,3.941893475e-02,2.408976339e-03,9.977029964e-01,9.976073353e-01
1.150000000e+02,3.959587126e-02,2.149726995e-03,3.744614426e-02,2.206888439e-03,9.979306859e-01,9.977771373e-01
1.160000000e+02,3.970711697e-02,2.355789018e-03,3.735132796e-02,2.478200224e-03,9.980594494e-01,9.971653434e-01
1.170000000e+02,3.964738079e-02,2.372125056e-03,3.727525573e-02,2.306570306e-03,9.975694204e-01,9.979133294e-01
1.180000000e+02,3.729553287e-02,2.377930432e-03,3.491760244e-02,2.256867656e-03,9.977559869e-01,9.978397372e-01
1.190000000e+02,3.886143440e-02,2.204104211e-03,3.665733018e-02,2.230154590e-03,9.977563972e-01,9.978884105e-01
1.200000000e+02,3.555433219e-02,2.086888164e-03,3.346744402e-02,2.032835621e-03,9.980364595e-01,9.980031878e-01
1.210000000e+02,3.622975414e-02,1.989483627e-03,3.424027052e-02,2.218298909e-03,9.975928173e-01,9.980546940e-01
1.220000000e+02,3.521514917e-02,2.213004161e-03,3.300214501e-02,2.364067528e-03,9.979234372e-01,9.974950158e-01
1.230000000e+02,3.385522519e-02,1.745094163e-03,3.211013103e-02,2.009701643e-03,9.977527431e-01,9.982963131e-01
1.240000000e+02,3.322115189e-02,1.934854409e-03,3.128629748e-02,1.974864672e-03,9.979788526e-01,9.981604970e-01
1.250000000e+02,3.228540665e-02,1.792075213e-03,3.049333144e-02,1.912320652e-03,9.981877629e-01,9.980907365e-01
1.260000000e+02,3.404274384e-02,2.377805909e-03,3.166493793e-02,2.550058146e-03,9.979451033e-01,9.971344606e-01
1.270000000e+02,3.114379090e-02,1.767292286e-03,2.937649861e-02,1.834963029e-03,9.980201089e-01,9.983808579e-01
1.280000000e+02,2.975032676e-02,2.055085014e-03,2.769524174e-02,2.138918250e-03,9.978270586e-01,9.979934600e-01
1.290000000e+02,3.035025723e-02,1.895025433e-03,2.845523180e-02,2.011015506e-03,9.981956495e-01,9.979025997e-01
1.300000000e+02,2.913319115e-02,1.660299592e-03,2.747289155e-02,1.610102557e-03,9.983050277e-01,9.985419011e-01
1.310000000e+02,2.799393161e-02,1.763311235e-03,2.623062038e-02,1.717087401e-03,9.983500291e-01,9.983057563e-01
1.320000000e+02,2.809594098e-02,1.647726193e-03,2.644821478e-02,1.636734507e-03,9.984322697e-01,9.983805976e-01
1.330000000e+02,2.964706879e-02,2.289835784e-03,2.735723300e-02,2.136595935e-03,9.978932721e-01,9.979392243e-01
1.340000000e+02,2.655118836e-02,1.794285763e-03,2.475690260e-02,1.748257894e-03,9.984141862e-01,9.981918563e-01
1.350000000e+02,2.740361292e-02,1.524138000e-03,2.587947491e-02,1.737619822e-03,9.983178437e-01,9.982965014e-01
1.360000000e+02,2.771716796e-02,1.567497682e-03,2.614967028e-02,1.837452723e-03,9.978116941e-01,9.985604193e-01
1.370000000e+02,2.595926241e-02,1.771750661e-03,2.418751175e-02,1.822329663e-03,9.978856322e-01,9.985228566e-01
1.380000000e+02,2.408685658e-02,1.481498247e-03,2.260535833e-02,1.475319388e-03,9.984367328e-01,9.986729561e-01
1.390000000e+02,2.491336840e-02,1.862190929e-03,2.305117747e-02,2.015972758e-03,9.984575097e-01,9.976621501e-01
1.400000000e+02,2.397051535e-02,1.303477287e-03,2.266703807e-02,1.465915390e-03,9.983640117e-01,9.987544666e-01
1.410000000e+02,2.455527055e-02,1.739204733e-03,2.281606582e-02,1.544132108e-03,9.983260453e-01,9.986444309e-01
1.420000000e+02,2.552063313e-02,2.121154384e-03,2.339947874e-02,1.910428244e-03,9.977457512e-01,9.984847215e-01
1.430000000e+02,2.434939509e-02,1.514490848e-03,2.283490424e-02,1.434013160e-03,9.985134137e-01,9.986810333e-01
1.440000000e+02,2.452393481e-02,1.692366639e-03,2.283156817e-02,1.485261736e-03,9.983996854e-01,9.986874362e-01
1.450000000e+02,2.193362108e-02,1.444014309e-03,2.048960677e-02,1.472215467e-03,9.984779330e-01,9.986422540e-01
1.460000000e+02,2.287411998e-02,1.589250590e-03,2.128486939e-02,1.467228442e-03,9.985919155e-01,9.985507065e-01
1.470000000e+02,2.167234072e-02,1.488230357e-03,2.018411037e-02,1.651534521e-03,9.981073407e-01,9.986405002e-01
1.480000000e+02,2.114037531e-02,1.274075480e-03,1.986629983e-02,1.271354246e-03,9.987274642e-01,9.987905074e-01
1.490000000e+02,2.073838259e-02,1.396515945e-03,1.934186664e-02,1.274531566e-03,9.987257768e-01,9.987861657e-01
1.500000000e+02,2.139179688e-02,1.403019426e-03,1.998877746e-02,1.520334745e-03,9.984149893e-01,9.986095337e-01
1.510000000e+02,2.107434482e-02,1.238830461e-03,1.983551436e-02,1.325858039e-03,9.984726494e-01,9.989155828e-01
1.520000000e+02,1.990617755e-02,1.319383437e-03,1.858679412e-02,1.305076607e-03,9.986244233e-01,9.988196401e-01
1.530000000e+02,2.116692280e-02,1.772894997e-03,1.939402780e-02,1.536576100e-03,9.979587537e-01,9.989827981e-01
1.540000000e+02,2.099590931e-02,1.213820791e-03,1.978208852e-02,1.373631816e-03,9.984921980e-01,9.988106161e-01
1.550000000e+02,1.951889340e-02,1.315016714e-03,1.820387669e-02,1.275903614e-03,9.985070294e-01,9.989769073e-01
1.560000000e+02,2.530661648e-02,2.340226222e-03,2.296639026e-02,2.393020015e-03,9.982055314e-01,9.971926429e-01
1.570000000e+02,2.150788460e-02,1.797809482e-03,1.971007511e-02,1.922343859e-03,9.976234993e-01,9.985708565e-01
1.580000000e+02,1.996686961e-02,1.569245020e-03,1.839762459e-02,1.627909759e-03,9.976409581e-01,9.990959096e-01
1.590000000e+02,1.910132885e-02,1.478313998e-03,1.762301485e-02,1.752073489e-03,9.977670479e-01,9.987565899e-01
1.600000000e+02,1.836651578e-02,1.131429356e-03,1.723508643e-02,1.289029277e-03,9.984474132e-01,9.990054833e-01
1.610000000e+02,1.789161299e-02,1.250303294e-03,1.664130970e-02,1.269723079e-03,9.987835710e-01,9.987439320e-01
1.620000000e+02,1.794995739e-02,1.289570657e-03,1.666038673e-02,1.333536744e-03,9.987594397e-01,9.986481122e-01
1.630000000e+02,2.026619642e-02,1.513545022e-03,1.875265140e-02,1.597420887e-03,9.982709442e-01,9.985952924e-01
1.640000000e+02,1.759879532e-02,1.358348243e-03,1.624044708e-02,1.200277520e-03,9.987344079e-01,9.989148446e-01
1.650000000e+02,1.786298364e-02,1.250900872e-03,1.661208276e-02,1.154139649e-03,9.988029041e-01,9.989390221e-01
1.660000000e+02,1.666128548e-02,1.231654650e-03,1.542963083e-02,1.255533143e-03,9.986007331e-01,9.989315145e-01
1.670000000e+02,1.836099728e-02,1.474572001e-03,1.688642528e-02,1.633445997e-03,9.978878724e-01,9.988676016e-01
1.680000000e+02,1.704957026e-02,1.550830339e-03,1.549873992e-02,1.611242764e-03,9.981956071e-01,9.986364796e-01
1.690000000e+02,1.652050975e-02,1.113675802e-03,1.540683395e-02,1.073080614e-03,9.987813946e-01,9.991068214e-01
1.700000000e+02,1.629222034e-02,1.228968865e-03,1.506325147e-02,1.250624778e-03,9.986466686e-01,9.988999411e-01
1.710000000e+02,1.778654471e-02,1.346588030e-03,1.643995668e-02,1.452136484e-03,9.985385580e-01,9.986255505e-01
1.720000000e+02,1.568243255e-02,1.275904335e-03,1.440652822e-02,1.278830398e-03,9.983287283e-01,9.991290614e-01
1.730000000e+02,1.552497201e-02,1.014884798e-03,1.451008721e-02,1.056598156e-03,9.988999614e-01,9.990323253e-01
1.740000000e+02,1.651512717e-02,9.743414186e-04,1.554078575e-02,9.556569460e-04,9.990146263e-01,9.991163131e-01
1.750000000e+02,1.671542589e-02,1.363536013e-03,1.535188988e-02,1.210097143e-03,9.988625925e-01,9.987835699e-01
1.760000000e+02,1.481027646e-02,9.955998400e-04,1.381467662e-02,1.007271721e-03,9.989957567e-01,9.990382375e-01
1.770000000e+02,1.579452417e-02,1.470257291e-03,1.432426688e-02,1.390809920e-03,9.987853882e-01,9.985200536e-01
1.780000000e+02,1.484842601e-02,9.952150844e-04,1.385321092e-02,9.106984432e-04,9.990613888e-01,9.991575271e-01
1.790000000e+02,1.446727392e-02,9.391866389e-04,1.352808728e-02,9.638305962e-04,9.988892505e-01,9.992120769e-01
1.800000000e+02,1.602274310e-02,1.281089496e-03,1.474165361e-02,1.208250571e-03,9.982752151e-01,9.993058993e-01
1.810000000e+02,1.489130902e-02,1.087563083e-03,1.380374594e-02,9.900441075e-04,9.988906217e-01,9.991627467e-01
1.820000000e+02,1.436720785e-02,9.198987682e-04,1.344730908e-02,9.360871518e-04,9.989825871e-01,9.991805426e-01
1.830000000e+02,1.395612087e-02,9.121243648e-04,1.304399650e-02,9.756782725e-04,9.989188159e-01,9.991642082e-01
1.840000000e+02,1.330716984e-02,8.904384027e-04,1.241673144e-02,8.892654551e-04,9.990212966e-01,9.992322915e-01
1.850000000e+02,1.405487701e-02,1.170461441e-03,1.288441557e-02,1.060082464e-03,9.988426772e-01,9.990765391e-01
1.860000000e+02,1.274047824e-02,9.404179387e-04,1.180006031e-02,9.278174259e-04,9.990688966e-01,9.991194696e-01
1.870000000e+02,1.348767626e-02,1.225845808e-03,1.226183045e-02,1.192709594e-03,9.986209016e-01,9.990290179e-01
1.880000000e+02,1.503238648e-02,1.308366391e-03,1.372402009e-02,1.479029431e-03,9.984261018e-01,9.986755381e-01
1.890000000e+02,1.307732695e-02,1.025564430e-03,1.205176252e-02,1.115053002e-03,9.986931332e-01,9.991077525e-01
1.900000000e+02,1.370073092e-02,1.105165264e-03,1.259556566e-02,1.029468619e-03,9.988864029e-01,9.990941044e-01
1.910000000e+02,1.406127565e-02,1.289794755e-03,1.277148089e-02,1.073716553e-03,9.987891866e-01,9.990987699e-01
1.920000000e+02,1.337209224e-02,9.220419361e-04,1.245005030e-02,9.073048202e-04,9.989797464e-01,9.992358866e-01
1.930000000e+02,1.358199572e-02,9.545652348e-04,1.262743049e-02,8.888091815e-04,9.990211480e-01,9.992332603e-01
1.940000000e+02,1.259945930e-02,1.187766065e-03,1.141169323e-02,1.227753637e-03,9.985252911e-01,9.990491599e-01
1.950000000e+02,1.304853740e-02,1.299460788e-03,1.174907661e-02,1.343364222e-03,9.983147670e-01,9.990229345e-01
1.960000000e+02,1.261693893e-02,7.885442171e-04,1.182839472e-02,8.054958609e-04,9.991319250e-01,9.992883244e-01
1.970000000e+02,1.317342418e-02,9.658232297e-04,1.220760095e-02,1.042570040e-03,9.987510022e-01,9.991896794e-01
1.980000000e+02,1.215695108e-02,8.042719860e-04,1.135267909e-02,7.491118611e-04,9.992822794e-01,9.992589896e-01
1.990000000e+02,1.361695786e-02,1.086065441e-03,1.253089242e-02,1.080249706e-03,9.987892492e-01,9.990867220e-01
2.000000000e+02,1.181991812e-02,1.007500753e-03,1.081241736e-02,9.976342094e-04,9.989551718e-01,9.990917848e-01
2.010000000e+02,1.242786605e-02,9.167288686e-04,1.151113718e-02,9.640760306e-04,9.988650212e-01,9.992330326e-01
2.020000000e+02,1.364493943e-02,1.029342663e-03,1.261559677e-02,1.022191188e-03,9.988741260e-01,9.991183096e-01
2.030000000e+02,1.393754667e-02,1.101940171e-03,1.283560650e-02,1.161810653e-03,9.987668855e-01,9.989567628e-01
2.040000000e+02,1.137537221e-02,8.257022973e-04,1.054966991e-02,7.451700964e-04,9.992601381e-01,9.992857869e-01
2.050000000e+02,1.176777401e-02,1.014962772e-03,1.075281124e-02,9.318082669e-04,9.988662035e-01,9.992912204e-01
2.060000000e+02,1.345742451e-02,1.086469904e-03,1.237095460e-02,1.008895401e-03,9.987215558e-01,9.992775097e-01
2.070000000e+02,1.107141404e-02,7.480593006e-04,1.032335474e-02,7.576617742e-04,9.990824339e-01,9.994198557e-01
2.080000000e+02,1.079158438e-02,7.555793429e-04,1.003600503e-02,7.081128701e-04,9.992524073e-01,9.993606410e-01
2.090000000e+02,1.141585016e-02,8.021892732e-04,1.061366089e-02,8.691396355e-04,9.989986245e-01,9.992892659e-01
2.100000000e+02,1.389033035e-02,1.096104188e-03,1.279422616e-02,1.147381228e-03,9.983654046e-01,9.993379529e-01
2.110000000e+02,1.068214583e-02,7.841551943e-04,9.897990641e-03,8.478235579e-04,9.989366038e-01,9.993831892e-01
2.120000000e+02,1.092511627e-02,7.843570131e-04,1.014075926e-02,7.319285709e-04,9.992841685e-01,9.992888631e-01
2.130000000e+02,1.075146409e-02,8.287759899e-04,9.922688097e-03,8.523673433e-04,9.990978711e-01,9.992323710e-01
2.140000000e+02,1.081635256e-02,9.497982893e-04,9.866554267e-03,8.874208678e-04,9.991823539e-01,9.990933856e-01
2.150000000e+02,1.059961445e-02,8.565006444e-04,9.743113809e-03,8.717091034e-04,9.989518043e-01,9.993259142e-01
2.160000000e+02,1.018575973e-02,7.251493045e-04,9.460610429e-03,7.106525521e-04,9.990732480e-01,9.995142638e-01
2.170000000e+02,1.048374789e-02,8.579170230e-04,9.625830862e-03,8.762630350e-04,9.991592489e-01,9.991342804e-01
2.180000000e+02,1.069142604e-02,1.000959664e-03,9.690466374e-03,1.058810247e-03,9.989555621e-01,9.989791422e-01
2.190000000e+02,1.086330310e-02,9.031693877e-04,9.960133711e-03,8.176608275e-04,9.991480534e-01,9.992517446e-01
2.200000000e+02,1.154198466e-02,1.144152604e-03,1.039783206e-02,1.060661416e-03,9.987598930e-01,9.991486151e-01
