output,rmse,mae,max_abs_error,r2,physics_rmse,physics_max_abs
x_ddot,3.738034591e-02,2.532637120e-02,1.986002752e-01,9.997267677e-01,3.738029017e-02,1.986013934e-01
theta_ddot,7.201007655e-02,3.932518055e-02,5.210731925e-01,9.997964160e-01,7.200982494e-02,5.210672136e-01
